#UNReg	Title	PDFDate	FirstSeen	URL	Source
# Updated 2026 Jul 12 1102:36
ST/SG/SER.E/1291	-	2025 Aug 20	2026 Jul 11	https://docs.un.org/en/ST/SG/SER.E/1291	ods
ST/SG/SER.E/1293	-	2025 Sep 5	2026 Jul 11	https://docs.un.org/en/ST/SG/SER.E/1293	ods
ST/SG/SER.E/1294	-	2025 Oct 16	2026 Jul 11	https://docs.un.org/en/ST/SG/SER.E/1294	ods
ST/SG/SER.E/1295	-	2026 Jan 8	2026 Jul 11	https://docs.un.org/en/ST/SG/SER.E/1295	ods
ST/SG/SER.E/1295/Add.1	-	2026 Jan 9	2026 Jul 12	https://docs.un.org/en/ST/SG/SER.E/1295/Add.1	ods
ST/SG/SER.E/1296	-	2026 Jan 9	2026 Jul 11	https://docs.un.org/en/ST/SG/SER.E/1296	ods
ST/SG/SER.E/1297	-	2025 Oct 24	2026 Jul 11	https://docs.un.org/en/ST/SG/SER.E/1297	ods
ST/SG/SER.E/1298	-	2025 Oct 23	2026 Jul 11	https://docs.un.org/en/ST/SG/SER.E/1298	ods
ST/SG/SER.E/1300	-	2025 Oct 16	2026 Jul 11	https://docs.un.org/en/ST/SG/SER.E/1300	ods
ST/SG/SER.E/1301	-	2025 Oct 23	2026 Jul 11	https://docs.un.org/en/ST/SG/SER.E/1301	ods
ST/SG/SER.E/1302	-	2026 Jan 23	2026 Jul 11	https://docs.un.org/en/ST/SG/SER.E/1302	ods
ST/SG/SER.E/1305	-	2026 Jan 9	2026 Jul 11	https://docs.un.org/en/ST/SG/SER.E/1305	ods
ST/SG/SER.E/1306	-	2026 Jan 8	2026 Jul 11	https://docs.un.org/en/ST/SG/SER.E/1306	ods
ST/SG/SER.E/1308	-	2025 Dec 10	2026 Jul 11	https://docs.un.org/en/ST/SG/SER.E/1308	ods
ST/SG/SER.E/1309	-	2026 Jan 8	2026 Jul 11	https://docs.un.org/en/ST/SG/SER.E/1309	ods
ST/SG/SER.E/1310	-	2026 Apr 2	2026 Jul 11	https://docs.un.org/en/ST/SG/SER.E/1310	ods
ST/SG/SER.E/1312	-	2026 Apr 2	2026 Jul 11	https://docs.un.org/en/ST/SG/SER.E/1312	ods
ST/SG/SER.E/1316	-	2026 Mar 16	2026 Jul 11	https://docs.un.org/en/ST/SG/SER.E/1316	ods
ST/SG/SER.E/1317	-	2026 Mar 12	2026 Jul 11	https://docs.un.org/en/ST/SG/SER.E/1317	ods
ST/SG/SER.E/1319	-	2026 Mar 23	2026 Jul 11	https://docs.un.org/en/ST/SG/SER.E/1319	ods
ST/SG/SER.E/1324	-	2026 Apr 30	2026 Jul 11	https://docs.un.org/en/ST/SG/SER.E/1324	ods
